SampleId	gtdb_r207_NR	gtdb_r207_amoA	gtdb_r207_amoB	gtdb_r207_amoC	gtdb_r207_anfD	gtdb_r207_anfG	gtdb_r207_anfH	gtdb_r207_anfK	gtdb_r207_asnB	gtdb_r207_gdhA	gtdb_r207_glnA	gtdb_r207_gltB	gtdb_r207_gltD	gtdb_r207_gudB	gtdb_r207_hao	gtdb_r207_hcp	gtdb_r207_hzo	gtdb_r207_hzsA	gtdb_r207_hzsB	gtdb_r207_hzsC	gtdb_r207_napA	gtdb_r207_napB	gtdb_r207_narG_nxrA	gtdb_r207_narH_nxrB	gtdb_r207_narI	gtdb_r207_narJ	gtdb_r207_nasA	gtdb_r207_nasB	gtdb_r207_nifD	gtdb_r207_nifH	gtdb_r207_nifK	gtdb_r207_nirA	gtdb_r207_nirB	gtdb_r207_nirD	gtdb_r207_nirK	gtdb_r207_nirS	gtdb_r207_norB	gtdb_r207_nosZ	gtdb_r207_nrfA	gtdb_r207_nrfH	gtdb_r207_vnfD	gtdb_r207_vnfG	gtdb_r207_vnfH	gtdb_r207_vnfK	read_pair_count
77_SD7528_S130	2491	19	13	37	15	0	1127	5	10585	3682	9816	15151	9167	6693	225	18	181	216	238	1935	4499	64	4617	2732	621	276	10809	5336	20	1202	10	3390	2825	131	1044	36	553	632	95	328	16	2	1094	5	30773329
78_SD7529_S131	3654	78	85	120	12	1	1615	14	15539	5492	15239	24675	14321	9692	428	35	291	296	350	2812	6507	85	6979	4026	932	411	15795	8481	20	1752	22	5110	4602	200	1792	99	935	1008	180	557	8	0	1571	14	44489134
79_SD7530_S132	3022	37	27	32	11	0	1360	10	13183	4460	11796	20141	11891	7942	252	13	219	266	251	2275	5273	77	4982	3103	682	317	12804	6959	17	1448	13	4407	3717	144	1322	62	749	798	158	406	3	0	1340	11	35034875
80_SD7531_S133	3826	95	102	126	22	0	1734	19	18340	5925	16520	27210	15780	10305	414	32	299	360	371	2955	7514	144	6083	3996	842	386	18185	9221	29	1884	25	5141	5311	244	1854	183	1046	1388	778	778	15	2	1705	20	51824521
81_SD7532_S134	4134	51	54	92	31	0	1817	29	18466	6112	16669	27612	15673	10871	347	35	302	358	394	3014	7230	128	6150	4008	915	354	17643	9369	38	1975	32	5265	5157	235	1787	135	1041	1241	478	713	16	1	1786	30	53472339
82_SD7533_S135	4244	75	85	70	35	0	1756	41	19306	6530	17316	28324	16415	11140	461	54	394	382	448	3309	7539	92	6911	4490	905	390	18513	8933	44	1904	62	5521	5009	211	1810	160	1092	1352	487	766	27	7	1704	42	55759709
83_SD7534_S136	4048	44	44	56	16	0	1828	8	17893	6296	17248	27836	15950	11022	378	34	328	412	423	3220	7519	100	7153	4611	988	391	18519	8847	27	1954	14	5867	4818	175	1814	106	968	1180	236	673	11	2	1784	9	55998759
84_SD7535_S137	4824	68	59	113	21	0	2168	23	21343	7318	19954	32947	19395	12971	547	41	420	417	474	3834	8919	105	8257	5091	1078	465	22198	11104	28	2359	27	6817	6124	238	2085	136	1141	1329	292	707	18	0	2141	23	61269236
85_SD7536_S138	2675	16	13	37	8	0	1207	6	11819	4181	10253	16839	10248	7358	222	17	210	243	254	2037	4658	88	4486	2695	599	241	11259	6137	8	1292	11	3847	3381	118	1038	38	705	770	104	405	7	0	1183	6	32941333
86_SD7537_S139	1642	11	12	16	11	0	786	3	7383	2504	6581	10614	6480	4335	127	6	92	153	154	1401	2880	27	2846	1607	370	162	6936	3941	12	834	5	2265	2152	53	733	29	441	459	70	209	10	0	761	3	20488883
87_SD7538_S140	4520	45	36	57	30	1	2098	17	18687	6438	18015	30623	17079	11640	347	40	286	377	404	3192	8065	121	7802	4706	1106	394	19746	10780	36	2238	24	6403	6102	253	1831	86	1046	1080	190	563	21	1	2053	17	60168416
88_SD7539_S141	1017	14	7	10	0	0	555	8	4811	1636	3957	6091	3667	3006	32	0	20	111	85	759	1873	27	1781	1014	266	121	4325	2528	2	584	1	1328	1390	67	426	12	239	239	23	101	0	1	547	7	12050388
89_SD7540_S142	688	16	4	24	0	0	329	3	3130	1103	2752	3885	2616	1995	12	2	14	82	51	571	1137	16	1077	626	202	67	2576	1600	0	339	0	856	784	21	236	9	144	147	11	64	0	0	319	3	8029360
90_SD7541_S143	1199	26	18	59	0	1	614	1	5361	2016	4863	7138	4173	3719	40	2	27	107	62	843	2069	23	2107	1172	290	142	4680	2827	2	659	1	1422	1469	53	439	19	237	271	65	100	0	0	602	0	15427687
91_SD7542_S144	1570	28	39	47	7	0	864	8	8553	2757	7139	11504	6751	4848	92	15	47	185	141	1250	3536	47	2539	1582	362	144	8218	4793	7	950	10	2098	2802	100	791	72	465	611	463	329	7	1	846	NA	22999463
93_SD7544_S146	1116	20	18	34	4	0	650	1	5278	2107	4640	6960	4445	3696	45	4	26	103	69	819	2183	23	2034	1079	252	126	4841	2899	3	702	2	1396	1560	82	479	34	279	290	103	116	2	0	650	0	13813366
94_SD7545_S147	2451	29	24	59	2	1	1391	7	11892	4639	10978	15931	9508	9028	77	1	48	202	147	1599	4098	42	4418	2538	621	281	9907	6552	1	1479	4	3171	3394	186	1218	24	670	509	157	246	1	0	1407	5	30773388
95_SD7546_S148	1226	19	16	35	2	1	686	4	5890	2215	5023	7552	4442	3963	20	7	11	118	85	895	2169	17	2045	1136	307	105	4836	3170	5	761	4	1514	1666	40	488	19	313	295	94	139	1	2	685	5	15384523
96_SD7547_S149	662	5	4	8	0	0	377	1	3066	1257	2677	3916	2604	2131	9	3	7	73	44	483	1263	12	1108	639	179	68	2819	1781	0	388	0	895	982	39	274	8	161	136	13	63	0	1	366	1	7610304
97_SD7548_S150	4698	67	43	176	3	0	2314	2	21139	7481	21146	31239	16202	16389	139	12	79	278	172	2448	6952	62	9111	4827	1298	452	17043	10830	2	2507	3	5476	5570	261	1868	15	1086	929	86	253	2	1	2321	1	71960988
98_SD7549_S151	1447	9	12	28	1	0	749	4	6854	2506	6156	9492	5410	4591	31	9	22	129	93	954	2690	21	2617	1446	395	137	6177	3758	3	761	3	2034	1965	83	579	12	332	276	28	119	1	0	716	1	18819383
99_SD7550_S152	793	9	3	10	1	0	455	4	3869	1395	3330	5385	3237	2467	35	2	40	75	76	634	1712	12	1517	765	222	100	3726	2293	0	489	2	1308	1255	47	344	16	232	192	41	99	0	0	451	5	10299160
