SampleId	gtdb_r207_ackA	gtdb_r207_acnA	gtdb_r207_acs	gtdb_r207_acsB	gtdb_r207_acsE	gtdb_r207_cdhA	gtdb_r207_cdhC	gtdb_r207_cooS	gtdb_r207_eno	gtdb_r207_fbaA	gtdb_r207_fbaB	gtdb_r207_fchA	gtdb_r207_fdhA	gtdb_r207_fhs	gtdb_r207_folD	gtdb_r207_ftr	gtdb_r207_fumA	gtdb_r207_fumB	gtdb_r207_fwdA_fmdA	gtdb_r207_gapA	gtdb_r207_gapN	gtdb_r207_gapor	gtdb_r207_glpX	gtdb_r207_gltA	gtdb_r207_gpmA	gtdb_r207_gpmI	gtdb_r207_hdrA	gtdb_r207_hdrD	gtdb_r207_hdrE	gtdb_r207_hmd	gtdb_r207_icd	gtdb_r207_idh3	gtdb_r207_korA	gtdb_r207_korB	gtdb_r207_korC	gtdb_r207_korD	gtdb_r207_mch	gtdb_r207_mcrA	gtdb_r207_mdh	gtdb_r207_mer	gtdb_r207_metF	gtdb_r207_mqo	gtdb_r207_mtaA	gtdb_r207_mtbA	gtdb_r207_mtbB	gtdb_r207_mtd	gtdb_r207_mtmB	gtdb_r207_mtrA	gtdb_r207_mtrH	gtdb_r207_mttB	gtdb_r207_mvhA_vhuA_vhcA	gtdb_r207_pfkC	gtdb_r207_pfp	gtdb_r207_pgi	gtdb_r207_pgk	gtdb_r207_pgl	gtdb_r207_pgm	gtdb_r207_ppdk	gtdb_r207_prkB	gtdb_r207_pta	gtdb_r207_rbcL	gtdb_r207_rbcS	gtdb_r207_rpe	gtdb_r207_rpiA	gtdb_r207_sdhA_frdA	gtdb_r207_sdhB_frdB	gtdb_r207_sdhC_frdC	gtdb_r207_sdhD_frdD	gtdb_r207_sucC	gtdb_r207_sucD	gtdb_r207_tktA	gtdb_r207_tpi	read_pair_count
35_SD7486_H082_pH6	1949	7607	12048	10	546	139	11	12	4225	734	680	505	2467	1769	2394	336	956	798	860	3393	11044	118	1736	3970	1452	2024	1117	698	60	18	3828	5394	3087	2125	209	510	255	0	2580	1916	1326	251	44	70	0	0	0	20	2	34	255	1	996	1423	3326	1186	2198	6107	112	1074	243	33	2179	657	7545	1981	317	203	3634	2902	5994	1984	17951067
36_SD7487_H085_pH6	9658	36537	51297	39	2119	293	22	42	20854	3370	3097	2058	10563	8611	11781	1685	4417	3773	3506	16463	41987	451	8050	17765	6254	10007	3507	2920	174	17	17232	22938	13852	9762	785	1810	1311	1	11981	6494	6494	728	124	220	1	1	0	51	1	101	1524	0	4076	6482	15198	5109	10553	28844	489	5198	998	213	9624	3376	32591	9041	1409	863	17241	13416	28127	9225	92085633
37_SD7488_H086_pH6	7347	28112	41706	26	1878	375	18	28	16035	3094	2550	1664	9154	6248	9685	1061	3193	2993	2474	13111	37391	321	6347	14250	5338	8184	3070	2300	134	19	14101	18775	10477	7699	613	1516	907	0	9475	5754	5327	841	101	201	1	0	5	41	4	75	1172	4	3299	5379	12389	4177	8676	21670	423	4413	1002	195	7945	2661	27151	7255	1375	875	13774	11079	22206	7815	63388495
38_SD7489_H087_pH6	4881	17057	24630	4	1068	223	2	24	9783	1649	1191	1002	5137	3536	5833	673	2044	1714	1591	7695	21985	166	4155	8436	2855	5354	2241	1533	129	30	8417	11387	5953	4616	500	1061	491	0	5562	3412	3165	348	47	151	0	2	0	27	3	42	1026	2	1770	3081	7353	2556	5510	13313	249	2331	591	122	4648	1885	15524	4268	777	499	8067	6292	14229	4751	39666256
39_SD7490_H089_pH6	9672	35012	51943	32	2133	354	12	25	20043	3501	3082	2055	11014	7925	12016	1589	4455	3989	3477	16377	43008	475	8054	17430	6451	9246	3587	2869	140	22	17334	23696	13654	9880	700	1823	1297	0	11565	7646	5991	758	92	263	0	5	1	55	0	85	1330	1	3915	6547	15423	4804	11190	28702	586	5378	1050	257	10076	3293	33532	9253	1507	945	16882	13609	28743	9464	87698444
40_SD7491_H090_pH6	5774	22452	31871	27	1317	304	5	20	13039	1939	2472	1431	6478	5308	7308	1049	2546	2352	2297	10382	26125	276	5159	11344	3756	6291	2279	1806	162	13	10987	15246	8461	6348	406	1241	844	2	7451	4385	3660	461	76	179	0	1	1	70	1	64	784	0	2574	3987	9819	3558	6594	18511	192	3338	424	82	6023	2047	20772	5489	864	482	10549	8803	16422	5799	64371003
41_SD7492_H091_pH6	2219	8872	13686	11	625	140	7	7	5053	720	788	641	2869	2108	2966	407	1127	977	1069	3938	12611	150	2192	4569	1613	2376	1276	880	66	14	4376	6222	3427	2457	211	595	350	3	2911	2350	1402	219	60	104	0	2	0	13	4	49	344	0	1147	1524	3835	1364	2562	7274	92	1316	201	39	2385	751	8846	2248	416	227	4169	3323	6657	2295	19846382
42_SD7493_H092_pH6	5373	20500	29442	16	1403	295	9	34	11321	2166	1788	1204	6275	4147	6958	387	2572	2154	1389	9110	26348	202	4298	9740	3352	7043	2442	1871	101	24	10107	13258	7001	5422	612	1242	408	0	6780	3589	3497	632	76	168	1	1	5	49	4	62	1122	1	2073	3884	8725	2708	6584	15494	242	3223	570	83	5657	2104	18811	5265	971	633	9381	7692	16659	5516	45822627
43_SD7494_H093_pH6	7510	28560	41221	23	1873	332	11	32	16076	3014	2428	1673	8959	6682	9825	815	3620	3049	1957	12847	36696	273	6177	13667	4558	10151	3406	2597	157	17	14149	18897	9840	7506	756	1689	738	1	9505	4983	5054	722	98	225	1	4	0	49	4	68	1627	4	3125	5084	12773	3636	9451	22755	429	4402	918	181	7778	3086	26245	7385	1385	822	13537	11034	22886	7778	65489040
44_SD7495_H094_pH6	11261	41114	59705	33	2515	410	18	25	24086	4040	4419	2964	13426	9805	14730	1187	5383	4379	3032	18867	52648	459	9134	20502	6581	14432	4392	3747	214	11	20918	28420	15419	11794	1285	2343	1073	1	14164	7677	7258	798	117	388	0	0	4	48	2	107	2125	8	4467	7924	18926	6017	13943	33537	502	6719	1113	228	11729	4708	38932	10761	1968	1228	19859	16115	34640	11464	93686286
