SampleId	gtdb_r207_ackA	gtdb_r207_acnA	gtdb_r207_acs	gtdb_r207_acsB	gtdb_r207_acsE	gtdb_r207_cdhA	gtdb_r207_cdhC	gtdb_r207_cooS	gtdb_r207_eno	gtdb_r207_fbaA	gtdb_r207_fbaB	gtdb_r207_fchA	gtdb_r207_fdhA	gtdb_r207_fhs	gtdb_r207_folD	gtdb_r207_ftr	gtdb_r207_fumA	gtdb_r207_fumB	gtdb_r207_fwdA_fmdA	gtdb_r207_gapA	gtdb_r207_gapN	gtdb_r207_gapor	gtdb_r207_glpX	gtdb_r207_gltA	gtdb_r207_gpmA	gtdb_r207_gpmI	gtdb_r207_hdrA	gtdb_r207_hdrD	gtdb_r207_hdrE	gtdb_r207_hmd	gtdb_r207_icd	gtdb_r207_idh3	gtdb_r207_korA	gtdb_r207_korB	gtdb_r207_korC	gtdb_r207_korD	gtdb_r207_mch	gtdb_r207_mcrA	gtdb_r207_mdh	gtdb_r207_mer	gtdb_r207_metF	gtdb_r207_mqo	gtdb_r207_mtaA	gtdb_r207_mtbA	gtdb_r207_mtbB	gtdb_r207_mtd	gtdb_r207_mtmB	gtdb_r207_mtrA	gtdb_r207_mtrH	gtdb_r207_mttB	gtdb_r207_mvhA_vhuA_vhcA	gtdb_r207_pfkC	gtdb_r207_pfp	gtdb_r207_pgi	gtdb_r207_pgk	gtdb_r207_pgl	gtdb_r207_pgm	gtdb_r207_ppdk	gtdb_r207_prkB	gtdb_r207_pta	gtdb_r207_rbcL	gtdb_r207_rbcS	gtdb_r207_rpe	gtdb_r207_rpiA	gtdb_r207_sdhA_frdA	gtdb_r207_sdhB_frdB	gtdb_r207_sdhC_frdC	gtdb_r207_sdhD_frdD	gtdb_r207_sucC	gtdb_r207_sucD	gtdb_r207_tktA	gtdb_r207_tpi	read_pair_count
55_SD7506_H105_pH5.5	4070	14678	21537	21	986	200	10	9	8478	1607	1007	893	4749	3277	4893	603	1743	1536	1470	6670	19000	128	3389	7607	2374	4628	1922	1339	124	25	7620	9861	5311	4092	470	1060	495	1	4878	2758	2728	338	51	140	1	0	0	22	1	50	956	5	1613	2887	6528	2223	4868	11435	240	2134	464	85	4029	1555	13203	3844	743	478	7125	5651	11902	4144	32563620
56_SD7507_H106_pH5.5	9549	31415	43399	60	1974	394	29	81	17978	2938	2056	2053	10103	7173	10630	1170	3813	3421	2668	13692	37775	165	7334	15754	4467	11251	3560	2595	204	11	16475	21825	10070	8402	1298	1991	989	0	10560	5055	5857	583	73	257	0	1	0	61	1	105	2533	1	3240	6259	13611	4285	11095	24470	695	4383	1219	279	8847	3970	27668	8731	1608	974	15087	11926	26504	8846	65999021
57_SD7508_H107_pH5.5	5913	21616	30091	15	1423	271	9	54	12126	2079	1222	1119	6571	4704	7149	715	2725	2311	1732	9681	26238	122	4789	10116	3284	7320	2566	1828	113	21	10610	13999	6924	5235	810	1357	613	0	7150	3502	4209	483	36	155	4	2	0	66	4	32	1587	0	2095	4061	9161	2724	6846	15996	480	2523	1041	211	5843	2646	18684	6148	1073	706	10281	8005	18349	5602	46112756
58_SD7509_H109_pH5.5	7453	25550	36414	25	1735	324	19	64	15041	2267	1819	1559	8104	5874	8453	969	3335	2793	2224	11671	32856	184	6174	12508	3852	8764	3045	2256	147	16	12316	17505	8033	6540	929	1531	764	0	8767	4729	4592	514	69	162	0	4	0	80	1	51	1814	6	2553	4679	10852	3429	8086	19652	507	3298	948	197	6811	3150	22836	7200	1348	772	11730	9666	20903	7091	55430555
59_SD7510_H110_pH5.5	9303	32315	44479	18	2022	336	8	83	18528	2795	2227	1854	9893	7459	10604	1098	3990	3482	2728	14293	38532	306	7710	15240	4665	11277	3547	2786	187	12	15888	21708	10330	8298	1168	1977	959	1	10766	5624	5931	604	84	220	2	1	0	84	3	45	2325	2	3040	5817	13594	4313	10102	25093	648	3831	1240	225	8616	3920	27948	8923	1588	922	15146	12085	27021	8538	71913722
60_SD7511_H111_pH5.5	2392	7582	11777	14	621	141	8	20	4356	823	534	552	2620	1659	2664	386	1035	784	846	3418	10582	100	1789	4029	1293	2582	1349	757	58	17	3924	5394	2923	2225	325	553	246	0	2705	1661	1445	164	25	103	2	0	0	13	3	19	600	2	819	1545	3364	1193	2634	6168	82	1141	223	53	2151	760	7395	2124	404	236	3693	2937	6451	2131	16520806
61_SD7512_H113_pH5.5	3579	12338	18275	21	862	164	9	26	6889	1117	726	771	3974	2514	3952	436	1622	1355	1152	5281	15989	115	2696	6088	1939	4093	1810	1220	111	25	6120	8207	4177	3265	530	843	362	1	4045	2456	2353	251	42	119	3	3	1	38	5	24	961	2	1337	2442	5069	1825	4126	9336	236	1841	443	78	3446	1460	11252	3298	692	460	5781	4529	10521	3223	24753808
62_SD7513_H114_pH5.5	1605	5378	7786	4	415	92	5	12	3038	553	355	316	1579	1079	1768	164	657	522	527	2313	7222	46	1262	2565	837	1728	839	569	53	11	2431	3290	1734	1333	215	419	125	2	1671	1053	942	134	26	55	2	0	0	6	2	11	374	0	543	1042	2208	775	1685	4029	98	671	220	34	1424	598	4936	1373	310	164	2550	1969	4311	1423	12039388
63_SD7514_H115_pH5.5	5951	20340	29622	23	1382	274	17	45	11202	1954	1267	1278	6438	4685	6805	692	2709	2265	1854	9032	26419	191	4932	10316	3248	6604	2592	2008	146	15	9952	13420	7410	5765	768	1231	612	0	6716	4178	3868	397	76	178	3	2	0	34	5	35	1460	1	2155	3989	8424	2810	6438	15974	245	2843	603	114	5582	2098	18652	5630	959	659	9714	7696	17085	5350	42227730
64_SD7515_H116_pH5.5	6219	21346	30458	32	1424	257	20	45	12129	2072	1318	1360	6900	4855	7251	796	2682	2371	1967	9510	27170	180	5244	10634	3052	7436	2704	1912	181	22	10759	14453	7305	5861	900	1363	667	0	7362	3926	3970	431	55	189	1	4	0	45	1	34	1628	0	2204	3993	8896	2863	7104	16494	381	2766	757	134	6063	2443	18951	5691	1037	737	10326	8096	18056	5739	44937088
65_SD7516_H117_pH5.5	7495	25211	35806	27	1732	317	19	63	14334	2346	1558	1497	7956	5241	8489	1059	3098	2684	2336	11397	31428	286	5644	12294	3985	7944	3048	2237	146	15	12268	16588	9034	6884	885	1599	838	0	8343	4608	4580	521	81	213	0	2	1	55	1	27	1785	2	2823	5048	10721	3558	8142	19275	326	3531	793	145	6868	2398	22759	6336	1125	736	11987	9628	20509	6724	54106774
66_SD7517_H119_pH5.5	8470	28184	38325	15	1786	324	8	47	15780	2410	1683	1735	8935	6344	9337	940	3560	2963	2315	12306	34615	197	6962	14149	3975	10230	3409	2463	154	15	14266	19438	8865	7570	1246	1848	715	1	9477	4778	5135	484	56	224	0	1	0	74	0	31	2358	2	2790	5151	11818	3763	9280	22329	543	3477	1034	199	7518	3615	24500	7726	1509	912	13606	10940	23562	7595	59611258
67_SD7518_H120_pH5.5	8090	29610	39624	34	1709	344	19	49	15986	3662	1475	1311	8586	5691	9793	953	3186	3329	2187	13267	36440	151	6165	13621	5517	7896	3358	2368	137	29	13252	16873	9645	6985	945	1467	748	0	9708	4205	6225	903	45	139	0	1	0	39	1	44	1768	3	3227	5974	12429	3541	9158	20463	676	3930	1295	279	8154	3289	25572	7720	1546	1018	13561	10659	24501	8016	60410793
68_SD7519_S121	7831	26967	37640	28	1860	301	15	74	15477	2118	1986	1810	8389	6495	9088	995	3400	2879	2436	11981	34609	217	6962	13201	3965	9574	3202	2465	164	12	13597	19069	8762	6937	928	1656	962	1	8980	5158	4590	575	81	230	4	1	0	106	0	40	1865	2	2776	4496	11496	3753	8621	21423	471	3370	998	237	7209	3253	24853	7420	1415	691	12487	10046	22105	7242	58452978
69_SD7520_S122	5035	17548	24010	13	1189	223	4	63	10102	1552	1189	1058	5592	4057	5661	542	2044	1811	1471	7617	21827	132	4127	8489	2468	6338	2138	1662	131	9	8712	11929	5114	4382	671	1123	462	0	5697	3163	2883	456	50	122	1	2	0	52	5	39	1434	1	1589	3049	7258	2353	5789	13599	369	2117	742	166	4619	2110	15297	4833	1023	564	8244	6322	14626	4381	38648582
70_SD7521_S123	2156	7947	11609	3	699	95	0	41	4453	656	435	542	2509	1812	2619	220	975	756	744	3495	11707	37	2217	3811	1142	2967	1259	880	71	8	3601	5197	2426	1919	307	595	243	2	2460	1665	1253	196	24	67	5	1	0	34	10	16	580	2	769	1281	3207	1028	2440	6009	118	901	279	66	2132	993	7205	2442	424	244	3789	2915	6738	2076	14994537
71_SD7522_S124	4589	16085	23501	19	1193	182	14	47	8958	1174	976	1076	5145	3528	5308	539	1781	1507	1393	7105	21697	104	4204	7479	2459	5948	2353	1616	120	10	7865	11168	4841	3938	612	1072	487	2	5090	3248	2720	412	42	123	3	6	0	81	1	32	1197	2	1485	2672	6764	2067	5180	11970	294	1935	589	123	4183	2071	14540	4592	909	498	7464	5791	13245	4266	32164046
72_SD7523_S125	17788	60006	79769	40	3403	379	27	168	34674	5349	3529	3636	18698	13138	20878	1907	7055	6132	4405	26865	70067	395	15932	28139	8428	22413	6199	5124	269	10	29295	40930	17194	14357	2501	3469	1812	1	19973	9410	10533	1345	113	315	0	3	0	248	2	42	5153	0	5544	10293	25862	7793	19873	45633	1166	6651	2294	464	15998	8418	52038	16994	3150	1709	28074	21856	50159	16142	122726151
73_SD7524_S126	1885	6702	9394	8	525	87	0	21	3657	542	370	452	2160	1359	2129	224	768	607	664	2759	8945	34	1490	3099	935	2366	1082	723	54	8	3292	4634	1667	1556	297	500	161	0	2052	1403	1158	174	22	55	2	1	2	36	11	15	515	5	605	1131	2770	979	2300	4871	105	775	288	66	1794	851	5923	1888	399	210	2976	2376	5592	1855	13493034
74_SD7525_S127	6091	22587	29626	3	1547	246	0	70	12771	1771	1409	1337	6547	4463	7700	728	2343	2005	1768	9880	27368	119	5574	10108	3244	8712	2807	2133	148	13	10328	14592	5782	4965	507	1206	681	0	7077	3893	3921	764	38	115	3	4	0	99	8	14	1324	1	1859	3563	9444	2681	6859	16511	455	2154	998	217	5574	2772	19683	6450	1353	607	10157	8167	19118	6005	45860990
75_SD7526_S128	6339	21299	28903	11	1553	233	9	62	11952	1509	1311	1345	6425	4456	6882	647	2417	1871	1710	9323	26337	121	5488	9722	2684	8422	2677	1923	136	7	10510	14822	5670	5014	782	1371	609	0	6806	3842	3437	490	41	144	2	11	0	81	3	19	1670	5	1773	3466	9230	2939	7051	16887	346	2128	815	166	5641	2780	18877	6207	1203	588	9931	7789	17924	5391	44214688
76_SD7527_S129	3883	13559	18909	9	1028	152	7	37	7622	1092	767	835	4149	2915	4304	464	1575	1368	1074	5882	17748	63	3192	6485	1949	4847	1878	1281	77	16	6735	9148	4241	3439	597	946	399	0	4266	2559	2249	335	43	118	3	2	0	52	7	21	1042	3	1239	2489	5484	1833	4386	10208	217	1521	513	108	3531	1622	11883	3658	775	434	6261	4835	11128	3509	27030406
77_SD7528_S130	4234	14951	20294	6	1144	187	5	29	8405	1171	966	930	4795	2767	4855	445	1584	1333	1171	6803	19092	69	3541	6824	1899	5994	2018	1433	122	4	7305	10308	4013	3504	482	959	389	1	4647	2927	2552	419	29	117	5	2	0	80	12	4	1030	4	1340	2358	6243	1943	4661	11518	264	1445	516	121	3837	1881	13090	4437	859	451	6664	5413	12496	3802	30773329
78_SD7529_S131	6232	22592	30705	15	1673	241	9	97	12430	1979	1269	1350	7072	4738	7687	696	2643	2138	1726	10567	29180	96	5776	10401	3206	8547	2979	2183	164	17	11083	15061	6492	5533	885	1375	655	1	7461	4007	3861	648	41	124	2	4	0	94	8	15	1742	1	2013	3971	9651	2873	7194	17058	408	2461	1043	217	6091	2896	19774	6753	1320	716	10373	8073	18934	6022	44489134
79_SD7530_S132	5483	18066	25269	8	1354	192	7	52	10298	1292	1132	1244	5850	3979	6179	665	2271	1856	1632	8024	24038	97	4673	8337	2503	7227	2484	1730	125	10	8846	12595	5035	4310	649	1293	563	0	6005	3422	2922	389	40	108	0	4	0	86	5	19	1353	2	1634	2976	7581	2439	6136	14069	374	2099	731	194	4819	2503	16677	5216	1094	578	8377	6752	15864	4840	35034875
80_SD7531_S133	6997	24503	33959	25	1753	289	17	51	13878	2069	1710	1540	7709	5725	7910	889	2899	2598	2235	10641	31631	228	6232	11646	3643	8413	3068	2145	135	8	11840	16261	7756	6254	906	1485	729	0	7878	4759	4124	539	65	154	0	4	1	70	13	43	1894	1	2468	4364	10028	3291	7573	19219	414	3034	834	135	6252	2942	21316	6704	1184	640	11190	9227	19253	6435	51824521
81_SD7532_S134	7044	24511	34695	14	1568	282	8	69	13878	2005	1635	1567	7584	5553	8057	859	2871	2590	2087	11129	31193	203	6403	11656	3538	8834	2990	2188	124	14	12454	17294	7659	6126	824	1494	711	0	8191	4563	4122	570	40	147	1	2	0	109	2	40	1777	0	2382	4279	10439	3320	7640	19197	418	2874	850	176	6753	3037	22441	6995	1340	751	11601	9330	20182	6718	53472339
82_SD7533_S135	7488	25222	35142	23	1755	286	12	60	14376	1883	1642	1558	7966	5632	8467	815	2885	2495	2239	11474	32393	177	6469	12277	3421	9205	3030	2256	157	6	12727	17789	7931	6623	1152	1822	756	2	8317	4561	4147	487	80	223	0	0	0	126	2	48	2326	1	2575	4483	10884	3573	8151	19837	388	3002	830	145	6808	2886	22295	6941	1331	725	11928	9177	20275	6643	55759709
83_SD7534_S136	7513	25067	34777	10	1773	266	9	88	14584	2001	1655	1645	7902	5100	8376	769	2728	2294	2121	11029	31148	169	6232	11769	3353	9856	3110	2272	169	11	12577	17964	7138	5833	1047	1725	711	0	8305	4365	4348	592	46	188	0	3	0	110	5	23	2067	1	2276	4461	10962	3636	8578	19697	466	2912	921	191	6647	3274	22042	7021	1444	688	12032	9295	21217	6549	55998759
84_SD7535_S137	9004	30297	41374	26	2038	316	17	88	17044	2392	1678	2013	9676	6302	10343	950	3472	2992	2350	13097	37161	220	7843	13965	4378	11368	3717	2777	179	14	14801	21235	8474	7117	1269	1852	823	0	9835	4932	5215	690	63	201	1	2	0	114	2	35	2392	4	2753	5170	12863	4081	9830	23145	539	3346	1116	206	8065	4119	26864	8279	1588	881	13948	10873	24926	8147	61269236
85_SD7536_S138	4855	15948	21444	10	1203	158	4	53	9010	1201	912	1119	5027	3526	5270	518	1818	1535	1362	6800	21072	80	4021	7413	1974	6614	2217	1446	87	7	7889	11319	4369	3835	569	1061	439	0	5039	2878	2598	288	40	95	6	1	0	72	4	19	1136	2	1382	2522	6843	2133	5386	12058	239	1690	585	132	4094	2200	14647	4638	970	516	7340	5646	13719	4268	32941333
86_SD7537_S139	2896	9979	14027	9	715	129	1	30	5751	733	574	711	3040	2072	3246	305	1075	893	890	4393	13386	50	2542	4617	1308	4000	1587	974	74	12	4720	6729	2812	2436	353	756	293	1	3070	1933	1752	219	32	65	3	4	0	41	5	16	689	0	820	1564	4104	1391	3195	7712	174	1062	458	86	2407	1326	8995	2923	568	282	4589	3684	8588	2525	20488883
87_SD7538_S140	7946	27574	36674	12	1855	292	4	63	16310	2384	1691	1689	8546	5717	9300	810	2987	2647	2209	12542	32389	150	6591	12758	3939	10453	3261	2573	142	9	13200	18396	7212	6311	975	1581	766	1	8715	4398	4799	774	65	163	1	0	0	112	1	33	2050	3	2355	4767	11870	3811	9268	20796	573	2960	1175	228	7212	3661	24183	7752	1501	819	13082	10090	23384	7285	60168416
88_SD7539_S141	1830	6413	8306	1	529	89	0	14	3337	417	429	334	1895	1067	2085	158	743	506	461	2852	8452	8	1491	2911	828	2478	989	680	64	9	3098	4312	1711	1486	95	414	159	4	1900	1266	1031	213	24	33	2	4	1	26	6	10	298	0	522	968	2588	840	1936	4520	126	533	300	48	1600	770	5745	1852	419	199	2854	2353	5525	1651	12050388
89_SD7540_S142	1177	4355	6049	0	416	58	0	25	2341	277	314	270	1193	770	1385	163	427	311	419	1735	6305	11	1197	1879	538	1770	742	445	40	2	2015	2739	1327	1046	57	255	114	3	1252	1091	785	173	12	28	10	4	6	38	4	0	141	2	346	625	1683	476	1229	3257	91	356	170	41	1079	502	3989	1239	258	122	1983	1581	3804	1030	8029360
90_SD7541_S143	1940	7762	10181	2	596	90	2	23	4233	441	599	450	2091	1331	2476	235	828	630	615	3194	9890	38	2012	3435	985	3069	1076	739	48	5	3324	4805	2270	1688	108	407	225	1	2315	1563	1242	235	10	27	3	4	0	33	6	7	269	3	646	1050	3033	894	1900	5861	174	606	372	53	1853	934	6781	2351	440	204	3505	2763	6378	1881	15427687
91_SD7542_S144	2876	11335	15657	3	829	154	1	28	6200	876	1029	700	3323	2115	3818	420	1350	1025	1109	5019	14960	91	2723	5386	1838	3570	1614	1049	71	10	5299	7539	3602	2803	194	571	327	1	3657	2361	1846	397	34	94	6	2	1	49	4	19	414	0	1194	1740	4615	1452	2969	8464	207	1287	329	73	2921	1196	10602	3167	534	288	5224	4154	8983	3051	22999463
92_SD7543_S145	3178	11309	15952	4	838	143	2	20	6330	701	878	652	3429	2273	3781	435	1240	1072	1059	5100	15112	64	2903	5398	1604	4233	1591	1131	71	1	5408	7693	3641	2769	234	639	420	1	3463	2419	1872	308	43	58	1	4	3	68	6	13	487	0	1036	1697	4645	1489	3163	8591	179	1101	428	111	2886	1396	10517	3292	618	332	5175	3991	9558	2973	22488210
93_SD7544_S146	1905	7765	10215	0	652	108	0	13	4043	521	574	411	2059	1154	2425	248	861	574	648	3029	10107	21	2064	3430	1148	2812	1168	709	53	7	3511	4804	2207	1780	64	407	208	1	2266	1547	1157	362	32	35	8	1	2	68	4	5	213	1	726	1031	3197	800	2161	5441	97	642	243	49	1941	799	6879	2180	397	208	3450	2666	5988	2150	13813366
94_SD7545_S147	4627	18513	23055	1	1295	207	0	7	9892	891	1425	982	4593	2587	5930	538	2002	1573	1304	7582	23135	53	4879	7823	2476	7039	2100	1605	89	4	8044	11434	5397	4363	201	752	473	0	5561	3194	2935	538	37	47	2	2	0	130	1	16	541	2	1480	2352	7379	1955	4617	13171	224	1312	593	128	4689	2237	15814	5044	917	452	7942	6366	14494	4837	30773388
95_SD7546_S148	2175	8376	10690	4	646	111	1	10	4374	439	648	492	2287	1294	2672	254	948	697	666	3463	10791	31	2107	3727	1116	3146	1198	795	51	8	3886	5467	2436	1899	110	467	247	3	2444	1556	1330	284	27	37	7	0	0	51	4	9	236	3	693	1195	3431	927	2221	6123	121	666	245	55	2190	920	7629	2361	518	215	3719	2967	6818	2099	15384523
96_SD7547_S149	1152	4220	5972	0	403	61	0	14	2284	206	368	256	1211	662	1396	119	386	344	391	1724	6089	15	1034	1979	574	1543	640	470	43	8	2009	2815	1167	1021	65	251	95	0	1267	1007	781	139	10	24	6	3	2	23	6	5	135	1	409	601	1760	451	1227	3156	79	348	146	32	1143	541	4128	1323	244	113	1902	1524	3713	1108	7610304
97_SD7548_S150	8600	36670	41722	1	2062	264	0	32	19749	1811	2676	1642	7879	5091	11271	1026	3292	2551	2268	14992	36808	61	9065	14485	3992	14595	3165	2562	125	2	15199	20746	10230	8250	301	1171	848	0	10341	5064	5533	1040	25	59	0	2	0	197	3	21	1102	5	2345	4535	14335	3262	8615	25822	582	2266	1200	193	8967	4129	28366	9626	1610	782	15819	12253	28630	8910	71960988
98_SD7549_S151	2596	9930	12743	0	796	122	0	12	5506	587	705	515	2660	1580	3219	319	1087	812	760	4249	12306	27	2420	4320	1253	4039	1420	876	60	5	4441	6297	2804	2263	134	487	263	0	2931	1875	1594	272	23	25	4	5	0	46	3	5	301	0	797	1353	4121	1048	2794	7169	175	743	377	65	2492	1195	8574	3014	548	273	4551	3530	8473	2612	18819383
99_SD7550_S152	1458	5345	7159	4	411	72	0	9	3056	376	397	264	1616	959	1775	159	558	458	499	2256	7276	19	1284	2485	708	2073	904	548	56	10	2764	3764	1391	1233	98	334	168	0	1727	1092	929	176	17	48	4	3	1	24	5	11	242	1	489	870	2314	694	1630	3925	118	500	207	42	1450	663	4926	1564	337	154	2507	1906	4653	1473	10299160
100_SD7551_S153	2345	8706	12491	8	652	126	4	8	4845	669	807	634	2722	1868	2906	320	987	819	908	3799	11870	74	2092	4138	1306	3062	1223	805	64	13	4274	5869	2793	2174	165	510	276	0	2818	1824	1489	256	32	50	0	1	0	47	1	16	280	2	893	1297	3594	1147	2531	6671	143	942	326	60	2327	966	8101	2522	461	231	3956	3139	7310	2290	18812126
101_SD7552_S154	1769	6573	9501	0	558	91	0	2	3483	365	513	418	1902	1256	2193	289	753	571	666	2648	9244	27	1680	3009	905	2559	1071	655	57	7	3254	4509	1952	1677	118	409	172	4	2067	1547	1137	207	31	53	1	0	9	24	5	8	233	1	612	943	2734	839	1824	4857	83	732	234	42	1695	732	6346	2016	363	172	2898	2480	5498	1656	12812863
102_SD7553_S155	1159	4452	6711	1	363	58	2	4	2478	324	381	292	1346	884	1541	162	507	373	443	1938	6667	23	1219	2042	636	1738	770	489	29	10	2077	2944	1474	1108	79	317	146	3	1374	1128	824	176	16	30	2	2	4	34	2	8	156	1	419	682	1784	545	1166	3344	75	437	158	32	1090	542	4142	1379	285	121	1986	1683	3723	1137	9022561
103_SD7554_S156	1165	4687	6637	0	431	64	1	5	2459	263	412	278	1347	688	1533	118	515	367	473	1811	6445	30	1208	2131	714	1740	816	424	43	7	2101	2968	1394	1075	87	298	141	1	1439	1044	813	145	13	24	7	2	2	41	0	5	165	0	432	705	1892	575	1218	3299	91	398	176	33	1193	565	4457	1369	235	152	2067	1575	3942	1280	8243891
104_SD7555_S157	2342	9395	12523	1	761	127	1	4	5013	509	829	525	2308	1450	3040	239	941	729	697	3753	12145	27	2622	4061	1428	3182	1230	930	68	7	3905	5687	2905	2216	123	488	246	0	2806	1745	1615	317	19	45	0	2	0	66	0	6	232	1	770	1294	3620	871	2232	7063	119	776	278	52	2340	1117	8009	2727	449	221	3990	3195	7020	2369	16062801
105_SD7556_S158	2252	9285	11900	1	747	118	1	7	4664	441	755	439	2080	1397	2986	269	914	738	705	3521	11799	9	2632	3955	1365	3157	1280	870	69	4	3815	5539	2706	2093	94	415	222	1	2595	1801	1750	295	17	43	4	1	0	47	1	4	233	2	791	1179	3460	828	1883	6677	135	712	244	58	2385	1070	7876	2552	358	206	4041	3107	6901	2477	14910947
106_SD7557_S159	6933	28802	34725	0	1989	304	0	22	15007	1350	2518	1546	6774	4389	9202	787	2795	2153	1907	11128	34061	59	8109	11965	3890	10782	2927	2630	152	10	11753	16866	8406	6622	262	909	674	0	8354	4768	4836	875	21	90	0	1	0	164	2	10	672	0	2222	3355	11442	2565	6284	22025	462	1861	777	154	7291	3476	23613	7973	1168	592	11883	9848	21318	7592	47006924
107_SD7558_S160	1375	5427	7200	3	479	77	0	6	2853	219	405	259	1336	810	1736	143	603	450	400	2128	7340	15	1562	2530	814	2055	783	566	68	5	2285	3273	1674	1309	56	319	113	2	1563	1213	970	183	10	21	1	1	2	37	3	6	120	0	519	720	2160	529	1189	3894	63	456	151	32	1411	604	4639	1567	233	139	2351	1821	4133	1353	8820948
108_SD7559_S161	2858	12807	15729	0	924	131	0	10	6460	575	1184	578	2679	1739	3767	307	1174	883	873	4799	15280	17	3451	5310	1901	4238	1373	1122	115	6	4730	6947	3775	2873	150	558	265	0	3447	2151	2206	506	8	44	0	1	0	72	1	14	312	1	997	1539	4852	939	2321	9351	206	909	368	76	3080	1414	9606	3324	437	274	5318	4053	8738	3111	21344865
109_SD7560_S162	4580	17878	22900	0	1337	172	0	17	9274	797	1522	894	4144	2852	6239	497	1840	1484	1315	6845	23222	31	5878	7857	2721	6514	2035	1575	105	9	6879	10333	5519	4362	199	726	482	0	5563	3399	3352	568	29	54	0	0	0	105	3	4	358	2	1573	2022	7172	1356	3556	13336	206	1432	542	96	4580	2164	15061	5222	682	426	7738	6139	13495	4911	27557694
110_SD7561_S163	1115	5145	6373	2	364	58	2	12	2520	239	541	231	1061	614	1490	118	346	322	445	1967	5321	4	1076	2085	795	1412	635	476	73	1	1953	2821	1430	1146	79	257	107	1	1336	940	885	268	8	15	0	4	1	24	1	3	152	2	375	621	1919	478	1047	3333	94	389	199	48	1190	575	3879	1266	215	133	2036	1713	3719	1177	10453537
111_SD7562_S164	1809	7992	10194	0	606	86	0	5	3739	445	607	356	1817	1132	2500	195	739	574	548	3131	9841	22	2130	3312	1263	2614	1055	748	47	6	3213	4609	2349	1905	83	399	169	0	2252	1453	1339	366	17	35	1	1	1	36	3	9	216	0	675	1016	2977	707	1577	5606	114	540	308	47	1958	805	6428	2025	327	161	3289	2662	5776	2027	14989596
112_SD7563_S165	3647	15584	19106	2	1070	158	0	9	8216	802	1258	754	3360	2384	4829	395	1512	1206	1022	6344	18108	39	4199	6687	2162	5534	1546	1292	101	4	6231	8868	4765	3696	138	572	315	0	4425	2534	2454	523	26	64	0	0	0	93	1	18	350	0	1176	1835	6147	1428	3301	11502	215	1147	490	86	3898	1666	12681	4291	617	333	6743	5271	11829	3948	30687279
113_SD7564_S166	1441	5528	8129	1	459	80	0	12	2832	398	560	313	1613	1070	1704	191	639	496	599	2250	7937	52	1437	2689	929	1631	835	582	53	6	2453	3601	1834	1294	128	328	175	3	1627	1358	953	187	22	46	1	1	0	21	4	13	176	2	645	807	2187	688	1312	4126	76	681	168	41	1481	522	5228	1551	250	135	2400	1980	4112	1412	11793351
114_SD7565_S167	1803	7042	9485	0	579	112	0	9	3708	411	589	411	1754	1085	2277	203	743	613	567	2823	9231	37	1759	3200	1122	2335	1020	685	62	8	3067	4375	2169	1714	88	401	196	0	2047	1486	1167	255	18	33	2	4	2	27	0	5	179	0	675	946	2846	753	1643	5222	96	609	204	45	1787	810	6125	1937	285	179	2951	2310	5037	1840	12394283
115_SD7566_S168	1439	5809	7774	0	451	78	0	8	2872	329	573	307	1496	868	1917	171	526	458	503	2238	7757	13	1508	2550	1022	1786	812	599	57	4	2432	3461	1554	1296	77	340	155	5	1624	1274	1074	248	25	29	2	2	4	34	0	12	134	1	514	845	2258	610	1292	4032	80	509	194	32	1450	725	4768	1592	278	185	2496	1851	4193	1486	9702263
116_SD7567_S169	3157	12985	16692	4	963	153	3	11	6593	666	1212	637	3039	1784	3946	337	1150	994	945	5015	15414	23	3406	5710	1988	4174	1420	1171	116	4	5153	7463	3796	3008	155	531	293	4	3697	2434	2269	474	14	46	0	0	0	95	0	18	322	1	1082	1899	4960	1156	2719	9401	205	1105	374	77	3185	1526	10168	3600	532	321	5377	4270	9098	3116	23194224
117_SD7568_S170	2979	11936	14922	1	935	132	0	11	6309	612	986	644	2865	1716	3693	289	1157	900	766	4687	14746	29	3197	5050	1631	4512	1476	1141	64	4	5155	7379	3613	2837	111	510	226	1	3510	2109	2112	444	19	36	5	4	1	51	3	10	254	2	954	1482	4813	1115	2734	8776	186	928	316	57	3083	1411	10151	3362	523	284	5273	4177	9197	3000	21141227
118_SD7569_S171	355	1842	2334	0	159	27	0	7	869	98	159	84	383	265	468	53	146	93	183	672	2392	4	418	753	328	633	284	233	34	4	688	1021	527	389	21	119	46	1	493	414	319	82	2	18	13	1	3	15	2	2	39	0	162	228	658	148	398	1118	32	160	68	21	416	195	1448	472	70	45	756	546	1362	411	3036380
119_SD7570_S172	1714	7101	9238	0	597	81	1	5	3464	265	682	313	1530	999	2174	147	638	443	517	2762	8462	10	1738	3031	1065	2274	904	701	56	2	2691	4123	2093	1591	86	320	137	1	1911	1398	1269	277	12	36	0	1	0	32	0	1	162	0	552	920	2585	589	1448	5019	127	568	197	30	1708	940	5502	1969	292	156	2778	2270	4976	1664	11946996
120_SD7571_S173	3883	16456	19421	0	1110	142	0	9	8768	780	1344	721	3468	2211	5021	354	1537	1258	1044	6408	18417	23	4444	6651	2114	5947	1706	1353	74	5	6425	9319	4750	3788	128	581	296	1	4495	2522	2676	573	26	66	1	0	0	88	1	8	320	1	1207	1951	6619	1413	3420	11931	215	1147	498	90	4071	1763	12907	4534	678	358	6859	5374	12235	4073	30648360
